File name:,energies (keV),efficiencies (%),real time (s)
23cm_133Ba.Spe,"[53.161, 79.613, 80.997, 276.4, 302.85, 356.02, 383.85]","[0.33433351376735454, 1.2972135838247052, 0.09978215119286159, 0.03911934669468635, 0.031106984413450983, 0.024858760426671934, 0.022840167197771575]",817.0
23cm_152Eu(7Nov).Spe,"[121.78, 244.7, 344.27, 778.9, 964.08, 1085.9, 1112.1, 1408.0]","[0.08104793753397586, 0.04111034630624255, 0.023899033667237828, 0.009098688700198001, 0.007101406916544333, 0.006265091987986689, 0.005857621816804565, 0.004348578006822524]",1939.0
23cm_152Eu.Spe,"[121.78, 244.7, 344.27, 778.9, 964.08, 1085.9, 1112.1, 1408.0]","[0.08010041068758526, 0.04125232867340681, 0.024351464553856596, 0.009131352423688906, 0.007250591966537065, 0.0065315560446257345, 0.0059243857955964445, 0.004240126822311572]",999.0
23cm_241Am.Spe,"[26.345, 59.541]","[0.04498641121935532, 0.08605763302960594]",273.0
23cm_60Co.Spe,"[1173.2, 1332.5]","[0.006926600743315221, 5.867145575248896e-05]",1678.0
82mm_133Ba.Spe,"[53.161, 79.613, 80.997, 276.4, 302.85, 356.02, 383.85]","[1.1069767651660831, 10.85836919651803, 0.8352678479664347, 0.2763307103891993, 0.2443326709454525, 0.19448769140008187, 0.18917402216338203]",316.0
82mm_152Eu.Spe,"[121.78, 244.7, 344.27, 778.9, 964.08, 1085.9, 1112.1, 1408.0]","[0.5921332294777065, 0.2881214174842896, 0.17642766306851038, 0.06848514923882362, 0.05109477395859297, 0.04671882483351633, 0.042429894310006024, 0.03202893988094236]",305.0
82mm_241Am.Spe,"[26.345, 59.541]","[0.40594791300947825, 0.6965254961505813]",169.0
82mm_60Co.Spe,"[1173.2, 1332.5]","[0.055650495177107163, 0.0004764114518905033]",614.0
82mm_New_152Eu.Spe,"[121.78, 244.7, 344.27, 778.9, 964.08, 1085.9, 1112.1, 1408.0]","[0.6010993545441979, 0.2921943880952896, 0.1782030005270153, 0.06835214923710527, 0.051485452141445245, 0.04672230734169294, 0.043964487212344895, 0.031871245960824274]",3893.0
82mm_New_60Co.Spe,"[1173.2, 1332.5]","[0.05562492759939624, 0.0004789477780639764]",1087.0
