energy,unc_en,intensity_%,unc_i,type,start level energy  [keV],  end level energy  [keV], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
30.7,0.1,18,3,G,30.7,0.0,E1,,,4.6,,74,105,W,,0,,7/2-,37.05,,16,m,2223,9.6,EC+B+,100,,1062,15,73,106,Ta,15-Nov-2008,Coral M. BAGLIN,2024-01-29
133.9,0.2,0.1062,0.020734753434752968,G,133.9,0.0,[M1(+E2)],,,1.6,,74,105,W,,0,,7/2-,37.05,,16,m,2223,9.6,EC+B+,100,,1062,15,73,106,Ta,15-Nov-2008,Coral M. BAGLIN,2024-01-29
7.4,0.6,,,G,527.7,520.3,,,,,,74,105,W,,221.91,0.03,1/2-,6.40,,7,m,384,4.2,EC+B+,0.29,0.04,1062,15,73,106,Ta,15-Nov-2008,Coral M. BAGLIN,2024-01-29
101.6,0.5,0.00077,0.00007,G,221.52,120.1,[E4],,,1.32E3,,74,105,W,,221.91,0.03,1/2-,6.40,,7,m,384,4.2,IT,99.71,0.04,,,74,105,W,15-Nov-2008,Coral M. BAGLIN,2024-01-29
120.1,0.3,0.33,0.03,G,120.1,0.0,M1+E2,2.6,,2.03,,74,105,W,,221.91,0.03,1/2-,6.40,,7,m,384,4.2,IT,99.71,0.04,,,74,105,W,15-Nov-2008,Coral M. BAGLIN,2024-01-29
213.9,0.5,0.06,0.022,G,741.6,527.7,[D E2],,,0.28,,74,105,W,,221.91,0.03,1/2-,6.40,,7,m,384,4.2,EC+B+,0.29,0.04,1062,15,73,106,Ta,15-Nov-2008,Coral M. BAGLIN,2024-01-29
221.5,0.2,8.8,0.7,G,221.52,0.0,M3,,,10.18,,74,105,W,,221.91,0.03,1/2-,6.40,,7,m,384,4.2,IT,99.71,0.04,,,74,105,W,15-Nov-2008,Coral M. BAGLIN,2024-01-29
222.5,0.5,0.06,0.02,G,750.3,527.7,[D E2],,,0.25,,74,105,W,,221.91,0.03,1/2-,6.40,,7,m,384,4.2,EC+B+,0.29,0.04,1062,15,73,106,Ta,15-Nov-2008,Coral M. BAGLIN,2024-01-29
230.1,0.5,0.021,0.012,G,750.3,520.3,[D E2],,,0.23,,74,105,W,,221.91,0.03,1/2-,6.40,,7,m,384,4.2,EC+B+,0.29,0.04,1062,15,73,106,Ta,15-Nov-2008,Coral M. BAGLIN,2024-01-29
238.7,0.3,0.23,0.03,G,238.7,0.0,M1+E2,,,0.27,,74,105,W,,221.91,0.03,1/2-,6.40,,7,m,384,4.2,EC+B+,0.29,0.04,1062,15,73,106,Ta,15-Nov-2008,Coral M. BAGLIN,2024-01-29
281.7,0.3,0.19,0.03,G,520.3,238.7,(E2),,,0.0992,,74,105,W,,221.91,0.03,1/2-,6.40,,7,m,384,4.2,EC+B+,0.29,0.04,1062,15,73,106,Ta,15-Nov-2008,Coral M. BAGLIN,2024-01-29
288.9,0.3,0.03,0.008,G,527.7,238.7,[M1 E2],,,0.16,,74,105,W,,221.91,0.03,1/2-,6.40,,7,m,384,4.2,EC+B+,0.29,0.04,1062,15,73,106,Ta,15-Nov-2008,Coral M. BAGLIN,2024-01-29
9.424,,28.874708273664,,X,,,,,,,,74,105,W,,0,,7/2-,37.05,,16,m,2223,9.6,EC+B+,100,,1062,15,73,106,Ta,15-Nov-2008,Coral M. BAGLIN,2024-01-29
56.28,,22.397644771525755,,X,,,,,,,,74,105,W,,0,,7/2-,37.05,,16,m,2223,9.6,EC+B+,100,,1062,15,73,106,Ta,15-Nov-2008,Coral M. BAGLIN,2024-01-29
57.535,,39.047497858308496,,X,,,,,,,,74,105,W,,0,,7/2-,37.05,,16,m,2223,9.6,EC+B+,100,,1062,15,73,106,Ta,15-Nov-2008,Coral M. BAGLIN,2024-01-29
65.315,,12.917994552886416,,X,,,,,,,,74,105,W,,0,,7/2-,37.05,,16,m,2223,9.6,EC+B+,100,,1062,15,73,106,Ta,15-Nov-2008,Coral M. BAGLIN,2024-01-29
66.067,,16.40585308216575,,X,,,,,,,,74,105,W,,0,,7/2-,37.05,,16,m,2223,9.6,EC+B+,100,,1062,15,73,106,Ta,15-Nov-2008,Coral M. BAGLIN,2024-01-29
66.981,,3.4878585292793325,,X,,,,,,,,74,105,W,,0,,7/2-,37.05,,16,m,2223,9.6,EC+B+,100,,1062,15,73,106,Ta,15-Nov-2008,Coral M. BAGLIN,2024-01-29
9.424,,0.09,0.03,X,,,,,,,,74,105,W,,221.91,0.03,1/2-,6.40,,7,m,384,4.2,EC+B+,0.29,0.04,1062,15,73,106,Ta,15-Nov-2008,Coral M. BAGLIN,2024-01-29
9.74,,20.5861536555675,1.4561144985972934,X,,,,,,,,74,105,W,,221.91,0.03,1/2-,6.40,,7,m,384,4.2,IT,99.71,0.04,,,74,105,W,15-Nov-2008,Coral M. BAGLIN,2024-01-29
56.28,,0.08,0.03,X,,,,,,,,74,105,W,,221.91,0.03,1/2-,6.40,,7,m,384,4.2,EC+B+,0.29,0.04,1062,15,73,106,Ta,15-Nov-2008,Coral M. BAGLIN,2024-01-29
57.535,,0.15,0.05,X,,,,,,,,74,105,W,,221.91,0.03,1/2-,6.40,,7,m,384,4.2,EC+B+,0.29,0.04,1062,15,73,106,Ta,15-Nov-2008,Coral M. BAGLIN,2024-01-29
57.983,,15.654739445960294,1.2673301978748541,X,,,,,,,,74,105,W,,221.91,0.03,1/2-,6.40,,7,m,384,4.2,IT,99.71,0.04,,,74,105,W,15-Nov-2008,Coral M. BAGLIN,2024-01-29
59.32,,27.192529869654845,2.1982031940021165,X,,,,,,,,74,105,W,,221.91,0.03,1/2-,6.40,,7,m,384,4.2,IT,99.71,0.04,,,74,105,W,15-Nov-2008,Coral M. BAGLIN,2024-01-29
65.315,,0.049,0.018,X,,,,,,,,74,105,W,,221.91,0.03,1/2-,6.40,,7,m,384,4.2,EC+B+,0.29,0.04,1062,15,73,106,Ta,15-Nov-2008,Coral M. BAGLIN,2024-01-29
66.067,,0.062,0.023,X,,,,,,,,74,105,W,,221.91,0.03,1/2-,6.40,,7,m,384,4.2,EC+B+,0.29,0.04,1062,15,73,106,Ta,15-Nov-2008,Coral M. BAGLIN,2024-01-29
66.981,,0.013,0.005,X,,,,,,,,74,105,W,,221.91,0.03,1/2-,6.40,,7,m,384,4.2,EC+B+,0.29,0.04,1062,15,73,106,Ta,15-Nov-2008,Coral M. BAGLIN,2024-01-29
67.335,,9.013397312860956,0.7416506054355433,X,,,,,,,,74,105,W,,221.91,0.03,1/2-,6.40,,7,m,384,4.2,IT,99.71,0.04,,,74,105,W,15-Nov-2008,Coral M. BAGLIN,2024-01-29
68.117,,11.483068176584858,0.9437874826094662,X,,,,,,,,74,105,W,,221.91,0.03,1/2-,6.40,,7,m,384,4.2,IT,99.71,0.04,,,74,105,W,15-Nov-2008,Coral M. BAGLIN,2024-01-29
69.068,,2.469670863723902,0.2081496055385803,X,,,,,,,,74,105,W,,221.91,0.03,1/2-,6.40,,7,m,384,4.2,IT,99.71,0.04,,,74,105,W,15-Nov-2008,Coral M. BAGLIN,2024-01-29
